ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2019,"2019",0,"Total",208636,26473,"Census Tract 62, King County, WA","14000US53033006200"
2019,"2019",0,"Total",129609,21238,"Census Tract 63, King County, WA","14000US53033006300"
2019,"2019",0,"Total",166125,18242,"Census Tract 64, King County, WA","14000US53033006400"
2019,"2019",0,"Total",101847,9250,"Census Tract 65, King County, WA","14000US53033006500"
2019,"2019",0,"Total",114561,13425,"Census Tract 66, King County, WA","14000US53033006600"
2019,"2019",0,"Total",118590,17721,"Census Tract 67, King County, WA","14000US53033006700"
2019,"2019",0,"Total",128664,22814,"Census Tract 68, King County, WA","14000US53033006800"
2019,"2019",0,"Total",130524,25748,"Census Tract 69, King County, WA","14000US53033006900"
2019,"2019",0,"Total",69375,16455,"Census Tract 70, King County, WA","14000US53033007000"
2019,"2019",0,"Total",86810,3661,"Census Tract 71, King County, WA","14000US53033007100"
2019,"2019",0,"Total",117908,14762.999999999998,"Census Tract 72, King County, WA","14000US53033007200"
2019,"2019",0,"Total",92656,23173,"Census Tract 73, King County, WA","14000US53033007300"
2019,"2019",0,"Total",78632,11449,"Census Tract 74.01, King County, WA","14000US53033007401"
2019,"2019",0,"Total",53312,6481,"Census Tract 74.02, King County, WA","14000US53033007402"
2019,"2019",0,"Total",67860,8888,"Census Tract 75, King County, WA","14000US53033007500"
2019,"2019",0,"Total",88525,18095,"Census Tract 76, King County, WA","14000US53033007600"
2019,"2019",0,"Total",107736,19645,"Census Tract 77, King County, WA","14000US53033007700"
2019,"2019",0,"Total",190804,48941,"Census Tract 78, King County, WA","14000US53033007800"
2019,"2019",0,"Total",81834,12059,"Census Tract 79, King County, WA","14000US53033007900"
2019,"2019",0,"Total",127607,8274,"Census Tract 80.01, King County, WA","14000US53033008001"
2019,"2019",0,"Total",72155,27224,"Census Tract 80.02, King County, WA","14000US53033008002"
2019,"2019",0,"Total",82892,11629,"Census Tract 81, King County, WA","14000US53033008100"
2019,"2019",0,"Total",94039,8016,"Census Tract 82, King County, WA","14000US53033008200"
2019,"2019",0,"Total",68239,16601,"Census Tract 83, King County, WA","14000US53033008300"
2019,"2019",0,"Total",69409,9113,"Census Tract 84, King County, WA","14000US53033008400"
2019,"2019",0,"Total",62933,9963,"Census Tract 85, King County, WA","14000US53033008500"
2019,"2019",0,"Total",60349,9410,"Census Tract 86, King County, WA","14000US53033008600"
2019,"2019",0,"Total",96630,17581,"Census Tract 87, King County, WA","14000US53033008700"
2019,"2019",0,"Total",134107,15063,"Census Tract 88, King County, WA","14000US53033008800"
2019,"2019",0,"Total",110313,14929,"Census Tract 89, King County, WA","14000US53033008900"
